id,.metric,.estimator,.estimate,.config
Resample01,rmse,standard,8.332191067128221,Preprocessor1_Model1
Resample01,rsq,standard,0.557030141440942,Preprocessor1_Model1
Resample02,rmse,standard,8.190576571095344,Preprocessor1_Model1
Resample02,rsq,standard,0.5616277635658693,Preprocessor1_Model1
Resample03,rmse,standard,8.233774376069748,Preprocessor1_Model1
Resample03,rsq,standard,0.5665129504877445,Preprocessor1_Model1
Resample04,rmse,standard,8.446586058087002,Preprocessor1_Model1
Resample04,rsq,standard,0.5554804346013003,Preprocessor1_Model1
Resample05,rmse,standard,8.125166216687402,Preprocessor1_Model1
Resample05,rsq,standard,0.5856682386994589,Preprocessor1_Model1
Resample06,rmse,standard,8.367761589737508,Preprocessor1_Model1
Resample06,rsq,standard,0.5621962062173238,Preprocessor1_Model1
Resample07,rmse,standard,8.294580181129021,Preprocessor1_Model1
Resample07,rsq,standard,0.5746537708031675,Preprocessor1_Model1
Resample08,rmse,standard,8.291459401059337,Preprocessor1_Model1
Resample08,rsq,standard,0.5830916341772902,Preprocessor1_Model1
Resample09,rmse,standard,8.258126063679695,Preprocessor1_Model1
Resample09,rsq,standard,0.5573301952023666,Preprocessor1_Model1
Resample10,rmse,standard,8.323541924571947,Preprocessor1_Model1
Resample10,rsq,standard,0.5602817005332383,Preprocessor1_Model1
